!
!Columns:
!
!SUPLAY LAY WIRE Xa Ya Za Xb Yb Zb
!
!These are the wire endpoints for sector 1. We will simply
!duplicate for the other sectors. Note the layers (column 2)
!go from 1 to 8. Layers 1 and 8 are guard layers. Layer 2
!is the first sense layer. Likewise the wires (column 3) go from 
!1 to 114. Wires 1 and 114 are guard wires. Wire 2 is the first
!sense wire. The units are cm.
!
!
1 1 34   62.8481   34.6975  222.3519   56.6088  -30.8026  225.2613
1 1 35   64.1444   35.5067  221.7474   57.7596  -31.5209  224.7247
1 1 36   65.4406   36.3159  221.1430   58.9103  -32.2393  224.1881
1 1 37   66.7369   37.1251  220.5385   60.0610  -32.9576  223.6515
1 1 38   68.0331   37.9343  219.9341   61.2118  -33.6760  223.1149
1 1 39   69.3294   38.7435  219.3296   62.3625  -34.3944  222.5783
1 1 40   70.6256   39.5527  218.7252   63.5133  -35.1127  222.0417
1 1 41   71.9219   40.3619  218.1207   64.6640  -35.8311  221.5051
1 1 42   73.2182   41.1711  217.5163   65.8147  -36.5495  220.9685
1 1 43   74.5144   41.9803  216.9118   66.9655  -37.2678  220.4319
1 1 44   75.8107   42.7895  216.3073   68.1162  -37.9862  219.8953
1 1 45   77.1069   43.5987  215.7029   69.2670  -38.7045  219.3587
1 1 46   78.4032   44.4079  215.0984   70.4177  -39.4229  218.8221
1 1 47   79.6994   45.2171  214.4940   71.5684  -40.1413  218.2855
1 1 48   80.9957   46.0263  213.8895   72.7192  -40.8596  217.7489
1 1 49   82.2919   46.8355  213.2851   73.8699  -41.5780  217.2123
1 1 50   83.5882   47.6447  212.6806   75.0207  -42.2964  216.6757
1 1 51   84.8844   48.4539  212.0762   76.1714  -43.0147  216.1391
1 1 52   86.1807   49.2631  211.4717   77.3222  -43.7331  215.6025
1 1 53   87.4769   50.0723  210.8673   78.4729  -44.4514  215.0659
1 1 54   88.7732   50.8815  210.2628   79.6236  -45.1698  214.5293
1 1 55   90.0694   51.6907  209.6584   80.7744  -45.8882  213.9927
1 1 56   91.3657   52.4999  209.0539   81.9251  -46.6065  213.4561
1 1 57   92.6619   53.3091  208.4495   83.0759  -47.3249  212.9195
1 1 58   93.9582   54.1183  207.8450   84.2266  -48.0433  212.3829
1 1 59   95.2544   54.9275  207.2406   85.3773  -48.7616  211.8463
1 1 60   96.5507   55.7367  206.6361   86.5281  -49.4800  211.3097
1 1 61   97.8469   56.5459  206.0317   87.6788  -50.1984  210.7731
1 1 62   99.1432   57.3551  205.4272   88.8296  -50.9167  210.2365
1 1 63  100.4394   58.1643  204.8228   89.9803  -51.6351  209.6999
1 1 64  101.7357   58.9735  204.2183   91.1310  -52.3534  209.1633
1 1 65  103.0319   59.7827  203.6139   92.2818  -53.0718  208.6267
1 1 66  104.3282   60.5919  203.0094   93.4325  -53.7902  208.0901
1 1 67  105.6244   61.4011  202.4049   94.5833  -54.5085  207.5535
1 1 68  106.9207   62.2103  201.8005   95.7340  -55.2269  207.0169
1 1 69  108.2169   63.0195  201.1960   96.8847  -55.9453  206.4803
1 1 70  109.5132   63.8287  200.5916   98.0355  -56.6636  205.9437
